Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
786;2025-11-01;66;39;50;42;21;6;12;16;17;37;52;73;64;50;92;99;99;163;109;92;55;43;30;58;1385;;6;786 - 50 Otages Vers Nord;2025-11-01;Vacances de la Toussaint
948;2025-11-01;3;3;4;1;0;0;0;3;1;3;11;8;6;12;16;28;18;24;10;10;2;1;3;0;167;;6;948 - Bd Malakoff vers Est;2025-11-01;Vacances de la Toussaint
994;2025-11-01;18;9;13;5;2;3;2;3;3;5;2;14;17;13;10;25;41;39;50;20;9;20;13;15;351;;6;994 - Ceineray vers Est;2025-11-01;Vacances de la Toussaint
673;2025-11-01;13;10;17;1;3;2;4;1;3;6;8;19;16;21;19;27;31;37;23;28;20;12;5;17;343;;6;673 - Pont de Pornic vers Sud;2025-11-01;Vacances de la Toussaint
666;2025-11-01;0;2;1;0;3;1;1;3;3;3;5;9;2;9;9;6;8;4;4;8;3;3;1;4;92;;6;666 - Pont Audibert vers Sud;2025-11-01;Vacances de la Toussaint
664;2025-11-01;28;15;7;9;5;3;2;3;5;12;14;25;26;24;42;42;42;44;54;58;21;17;14;24;536;;6;664 - Bonduelle vers sud;2025-11-01;Vacances de la Toussaint
727;2025-11-01;1;0;5;0;1;0;1;0;8;14;12;18;11;16;13;16;14;26;11;13;1;6;0;4;191;;6;727 - Pont Tabarly vers Nord;2025-11-01;Vacances de la Toussaint
679;2025-11-01;0;2;0;0;1;0;0;0;2;5;2;2;1;3;4;3;2;1;4;4;0;0;0;3;39;;6;679 - Bd Malakoff vers Gare Sud;2025-11-01;Vacances de la Toussaint
943;2025-11-01;0;2;2;1;0;0;0;1;2;1;6;6;8;10;5;6;6;10;6;3;4;2;0;0;81;;6;943 - Magellan vers Ouest;2025-11-01;Vacances de la Toussaint
986;2025-11-01;1;1;0;0;0;0;0;2;2;8;9;8;14;10;11;9;12;14;13;12;8;7;1;3;145;;6;986 - Tremie vers Ouest;2025-11-01;Vacances de la Toussaint
987;2025-11-01;6;2;0;0;0;0;2;1;0;3;2;4;6;3;4;13;6;14;13;9;5;9;8;6;116;;6;987 - Tremie vers Est;2025-11-01;Vacances de la Toussaint
672;2025-11-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;6;672 - Pont de Pornic vers Nord;2025-11-01;Vacances de la Toussaint
787;2025-11-01;33;17;20;14;11;4;8;3;16;48;51;77;56;63;71;83;90;89;79;81;50;29;19;23;1035;;6;787 - 50 Otages Vers Sud;2025-11-01;Vacances de la Toussaint
788;2025-11-01;54;38;27;37;17;7;7;10;11;18;27;59;53;43;46;77;87;89;94;61;41;37;33;38;1011;;6;788 - 50 Otages Vers Nord;2025-11-01;Vacances de la Toussaint
950;2025-11-01;7;2;1;2;2;0;4;5;6;15;16;14;28;17;14;24;26;20;34;16;7;4;3;3;270;;6;950 - avenue de la Libération vers Nord;2025-11-01;Vacances de la Toussaint
980;2025-11-01;1;0;0;0;2;0;0;0;0;0;3;2;1;1;1;2;3;4;0;0;0;0;0;0;20;;6;980 - Pont Tabarly vers Sud;2025-11-01;Vacances de la Toussaint
676;2025-11-01;4;6;5;7;2;3;2;2;3;9;15;11;7;13;16;19;14;30;22;33;6;8;3;4;244;;6;676 - Pont Willy Brandt vers Beaulieu;2025-11-01;Vacances de la Toussaint
677;2025-11-01;10;4;6;4;0;0;4;2;3;9;17;14;12;18;13;22;26;22;20;6;8;6;3;5;234;;6;677 - Pont Willy Brandt vers Malakoff;2025-11-01;Vacances de la Toussaint
681;2025-11-01;25;18;6;9;5;1;4;4;5;5;15;22;36;24;25;35;32;60;39;37;20;27;15;11;480;;6;681 - Stalingrad vers est;2025-11-01;Vacances de la Toussaint
744;2025-11-01;13;4;2;3;3;3;0;4;6;16;32;43;33;28;36;40;44;52;45;41;19;13;15;9;504;;6;744 - Calvaire vers Est;2025-11-01;Vacances de la Toussaint
746;2025-11-01;0;0;3;1;0;0;1;1;6;10;10;19;10;10;8;23;34;34;11;7;7;2;0;0;197;;6;746 - Chemin de halage Tortière vers Sud;2025-11-01;Vacances de la Toussaint
